Product_ID,Product_Name,Category,Price,Stock,Brand,Discount_Percentage,Supplier_ID
133,Product 133,Clothing,0,376,Bush-Tanner,16.25,414
134,Product 134,Electronics,75,334,"Kim, Thompson and Bush",17.29,180
135,Product 135,Clothing,76,498,Williams and Sons,47.49,161
136,Product 136,Household,15,202,Conway and Sons,45.24,329
137,Product 137,Toys,31,410,"Hurley, Levy and Sutton",2.05,237
138,Product 138,Food,19,474,"Lam, Flores and Lewis",15.57,426
139,Product 139,Electronics,60,436,"Peterson, Preston and Parks",32.35,205
140,Product 140,Clothing,88,166,Hill-Callahan,3.73,480
141,Product 141,Household,84,354,Haney-Barron,36.99,410
142,Product 142,Electronics,73,491,Smith LLC,25.1,197
143,Product 143,Toys,18,481,Ward-Ferguson,45.72,22
144,Product 144,Food,39,54,Carpenter Ltd,27.01,141
145,Product 145,Food,9,147,"Lopez, Miller and Mora",17.17,59
146,Product 146,Household,83,191,Soto LLC,32.98,316
147,Product 147,Electronics,82,42,Gutierrez PLC,38.05,60
148,Product 148,Toys,18,148,Sullivan-Hansen,18.84,327
149,Product 149,Clothing,35,74,"Walker, Johnson and Jackson",7.76,83
150,Product 150,Food,91,392,Wilson Inc,4.34,471
151,Product 151,Clothing,17,483,Garcia LLC,48.79,72
152,Product 152,Toys,83,13,"Harrell, Stone and Gonzalez",13.42,194
153,Product 153,Toys,27,15,Lawson-Thomas,10.43,312
154,Product 154,Toys,96,356,Roman-Moore,49.88,460
155,Product 155,Toys,52,188,"Fields, Watson and Riley",34.12,340
156,Product 156,Clothing,90,70,Ellis PLC,41.92,368
157,Product 157,Clothing,64,238,Gilbert Ltd,6.0,361
158,Product 158,Toys,87,45,Frazier-Sullivan,27.17,111
159,Product 159,Toys,8,480,Glover PLC,33.76,132
160,Product 160,Household,41,394,Walker-Tapia,20.02,164
161,Product 161,Food,39,286,"Owens, Santiago and Romero",9.54,84
162,Product 162,Toys,31,20,"Perry, Myers and Smith",12.32,435
163,Product 163,Electronics,25,493,"Browning, Mosley and Kramer",2.12,151
164,Product 164,Clothing,60,486,Espinoza-Shelton,8.76,413
165,Product 165,Clothing,63,205,"Gonzalez, Gonzalez and Mora",10.75,330
166,Product 166,Food,13,500,Carson PLC,7.6,411
167,Product 167,Clothing,50,333,"Terry, Vance and Freeman",5.62,4
168,Product 168,Clothing,30,398,Gibson LLC,31.32,499
169,Product 169,Food,73,102,"Herman, Glover and Erickson",22.36,198
170,Product 170,Electronics,56,287,Little-Jackson,19.43,317
171,Product 171,Toys,60,474,Garrett and Sons,23.6,169
172,Product 172,Household,79,153,Jensen and Sons,13.26,62
173,Product 173,Electronics,93,413,Hartman-Vazquez,6.17,367
174,Product 174,Electronics,71,223,"Riggs, Ochoa and Graham",29.5,349
175,Product 175,Electronics,51,373,"Meyer, Larsen and Bailey",19.68,20
176,Product 176,Household,89,115,Best Group,15.79,69
177,Product 177,Toys,25,341,Jones PLC,11.08,307
178,Product 178,Food,81,168,"Osborne, Martinez and Lawson",33.84,450
179,Product 179,Toys,30,206,Gonzalez-Foley,16.01,472
180,Product 180,Toys,39,29,Glenn Group,19.44,78
181,Product 181,Toys,3,212,Barnes-Robinson,18.73,143
182,Product 182,Electronics,95,125,Estrada-Jordan,15.87,157
183,Product 183,Food,42,382,Miller-Lewis,37.03,390
184,Product 184,Food,29,231,Rodriguez Group,25.53,197
185,Product 185,Clothing,17,473,"Perez, Hood and Weiss",30.03,174
186,Product 186,Electronics,98,184,Anderson LLC,19.41,31
187,Product 187,Electronics,27,79,Jackson-Short,48.49,169
188,Product 188,Household,27,351,"Hampton, Stevenson and Donovan",1.22,439
189,Product 189,Household,88,414,Yang-Randall,36.81,271
190,Product 190,Household,76,214,Torres Group,10.94,147
191,Product 191,Clothing,39,389,Williams-Donovan,15.64,354
192,Product 192,Household,36,421,Harmon-Smith,42.64,364
193,Product 193,Electronics,59,353,"Wright, Ashley and Taylor",37.37,464
194,Product 194,Electronics,13,436,Dennis-Mcbride,21.0,81
195,Product 195,Toys,9,343,Payne Group,45.48,180
196,Product 196,Toys,69,91,Patton-Reynolds,27.28,428
197,Product 197,Toys,92,484,Lucas-Dawson,31.84,127
198,Product 198,Toys,92,306,Sparks-Wilkerson,8.5,203
199,Product 199,Food,10,207,Acosta-Barnes,47.34,456
200,Product 200,Electronics,34,212,Allen Ltd,49.98,266
201,Product 201,Household,24,416,Gordon-Mays,4.86,34
202,Product 202,Electronics,7,326,Banks Group,39.92,477
203,Product 203,Food,0,279,"Fernandez, Howard and Oliver",30.52,134
204,Product 204,Clothing,38,207,"Young, Jackson and Bailey",21.8,102
205,Product 205,Household,59,347,"Wright, Robertson and Miller",16.98,402
206,Product 206,Food,38,228,Stein and Sons,19.26,323
207,Product 207,Toys,5,366,"Washington, George and Griffith",12.05,193
208,Product 208,Clothing,39,275,"Burton, Beck and Buck",39.92,248
209,Product 209,Clothing,4,111,Ferguson-Lambert,17.04,209
210,Product 210,Clothing,74,228,Roberts LLC,16.2,384
211,Product 211,Toys,29,391,Payne-Heath,40.54,167
212,Product 212,Food,76,92,Jones-Alvarez,28.63,225
213,Product 213,Electronics,41,414,Navarro-Hernandez,14.15,381
214,Product 214,Toys,27,200,Flores-Parrish,36.29,405
215,Product 215,Food,71,457,Eaton-Woods,38.88,464
216,Product 216,Toys,10,34,Ponce Group,12.73,84
217,Product 217,Toys,23,21,"Barton, Martinez and Shepard",8.14,51
218,Product 218,Toys,31,60,Barry-Young,47.51,136
219,Product 219,Clothing,90,362,Scott PLC,44.14,99
220,Product 220,Food,48,497,Henson-Miller,24.19,171
221,Product 221,Clothing,34,161,Martin LLC,27.58,205
222,Product 222,Household,5,42,Martinez and Sons,21.19,310
223,Product 223,Electronics,2,67,Davis-Parsons,44.48,315
224,Product 224,Electronics,12,466,Jones Inc,36.33,319
225,Product 225,Household,41,20,Gonzalez-Williams,38.0,361
226,Product 226,Household,73,255,"Nelson, Thomas and Mckee",38.45,265
227,Product 227,Toys,13,234,Dickson-Davis,46.66,290
228,Product 228,Household,30,432,"Harrell, Glass and Lawson",20.6,75
229,Product 229,Toys,86,297,Mason-Cowan,24.61,384
230,Product 230,Household,59,382,"Anderson, Coleman and Becker",39.04,26
231,Product 231,Household,28,283,"Burch, Bullock and Martin",19.48,62
232,Product 232,Food,74,128,Wilson Ltd,5.27,431
233,Product 233,Toys,74,453,"Mcdaniel, Anderson and Williams",14.49,432
234,Product 234,Household,63,180,Reynolds LLC,43.22,490
235,Product 235,Clothing,18,361,"Campbell, Hughes and Long",15.16,162
236,Product 236,Clothing,51,14,Pierce-Fowler,30.68,305
237,Product 237,Toys,18,62,Ford Group,23.08,350
238,Product 238,Toys,68,416,"Bell, Walker and Ramirez",13.26,261
239,Product 239,Household,75,454,"Turner, Hinton and Rodriguez",31.12,350
240,Product 240,Electronics,98,35,Anderson and Sons,41.88,304
241,Product 241,Food,43,429,Strickland-Greene,9.94,418
242,Product 242,Electronics,67,216,Jacobs PLC,2.29,131
243,Product 243,Electronics,24,149,Long-Burgess,13.46,24
244,Product 244,Household,53,413,Evans PLC,11.23,275
245,Product 245,Household,90,60,English Inc,12.25,102
246,Product 246,Clothing,15,396,Sanchez LLC,34.13,46
247,Product 247,Household,76,274,Burton Inc,39.62,73
248,Product 248,Household,10,230,"Charles, Scott and Arias",31.0,280
249,Product 249,Clothing,95,391,Campbell-Abbott,17.16,93
250,Product 250,Food,47,491,Collins LLC,10.78,426
251,Product 251,Clothing,66,304,Hoffman Group,43.45,168
252,Product 252,Electronics,94,486,"Barnes, Nelson and Garcia",26.93,326
253,Product 253,Toys,46,92,"Smith, Vasquez and Bauer",13.11,61
254,Product 254,Food,70,414,"Nelson, Mcpherson and Rose",11.34,263
255,Product 255,Clothing,77,262,Hughes PLC,12.72,1
256,Product 256,Toys,25,188,"Jones, Valentine and Turner",22.51,217
257,Product 257,Household,23,283,Martinez-Payne,0.98,311
258,Product 258,Toys,29,476,Stephenson-Russell,25.43,273
259,Product 259,Household,50,352,Gomez and Sons,45.74,98
260,Product 260,Toys,80,275,Williams LLC,46.77,47
261,Product 261,Household,39,120,Meyer-Bennett,13.08,74
262,Product 262,Toys,22,138,Walsh-Collins,28.93,473
263,Product 263,Toys,61,464,Lindsey-Rangel,11.86,43
264,Product 264,Food,40,431,Phillips-Fry,13.44,31
265,Product 265,Household,71,161,Weaver and Sons,32.72,11
266,Product 266,Household,55,119,"Rice, Smith and Larson",28.05,86
267,Product 267,Household,13,255,Howard-Yang,40.85,222
268,Product 268,Toys,12,87,Pierce-Reynolds,16.88,155
269,Product 269,Toys,55,421,Morris PLC,17.89,209
270,Product 270,Food,84,317,"Murillo, Smith and Page",11.03,314
271,Product 271,Toys,57,224,Mosley Inc,38.57,241
272,Product 272,Toys,2,181,Jimenez PLC,30.47,406
273,Product 273,Electronics,12,130,Johnson Inc,9.98,369
274,Product 274,Food,51,404,Harris-Evans,48.03,232
275,Product 275,Toys,11,243,"Romero, Torres and Brooks",42.08,267
276,Product 276,Food,71,298,Rasmussen and Sons,28.22,379
277,Product 277,Food,57,253,"Oliver, Williams and Woodward",19.38,224
278,Product 278,Food,80,269,Kelly LLC,36.46,47
279,Product 279,Electronics,94,83,Taylor LLC,44.54,408
280,Product 280,Electronics,79,349,Haynes-Stuart,26.27,409
281,Product 281,Food,24,104,Adkins PLC,38.3,73
282,Product 282,Food,56,195,"Mcgee, Stuart and Rice",20.23,132
283,Product 283,Clothing,34,183,Brown Ltd,46.82,276
284,Product 284,Clothing,98,355,"Gonzalez, Gamble and Jones",7.2,377
285,Product 285,Clothing,78,466,Atkinson-Vincent,44.67,480
286,Product 286,Toys,48,344,Martinez-Lewis,7.52,170
287,Product 287,Food,94,47,Shah-Bell,15.53,181
288,Product 288,Food,25,210,Johnson Group,6.15,420
289,Product 289,Food,79,421,Sherman Inc,28.81,422
290,Product 290,Food,30,122,Harris Ltd,19.46,41
291,Product 291,Electronics,55,166,Smith-Lawson,23.48,332
292,Product 292,Household,57,57,"Perez, Rodriguez and Gilbert",39.4,192
293,Product 293,Household,66,233,Clarke-Fuentes,11.85,137
294,Product 294,Food,57,114,"Kelly, Frazier and Smith",29.03,435
295,Product 295,Clothing,52,182,Ford-Evans,36.43,339
296,Product 296,Toys,16,45,"Payne, Moore and Thomas",29.52,129
297,Product 297,Toys,55,283,Jordan-Williams,22.05,267
298,Product 298,Food,24,462,Cook-Armstrong,3.18,102
299,Product 299,Household,91,67,"Ross, Bonilla and Franklin",15.3,329
300,Product 300,Electronics,40,485,Davis and Sons,34.28,70
301,Product 301,Clothing,19,220,Day and Sons,8.91,2
302,Product 302,Household,41,234,"Rose, Smith and Cook",18.23,278
303,Product 303,Electronics,30,462,Vasquez and Sons,23.74,379
304,Product 304,Electronics,10,419,"Edwards, Fleming and Armstrong",6.05,379
305,Product 305,Electronics,1,302,"Beasley, Valentine and Wise",47.03,413
306,Product 306,Toys,45,354,Elliott-Gibbs,48.06,197
307,Product 307,Electronics,9,426,Fernandez and Sons,33.41,410
308,Product 308,Food,89,307,Deleon-Harrison,19.59,320
309,Product 309,Electronics,20,49,Lewis Inc,7.13,11
310,Product 310,Household,96,368,"Fox, Smith and Brock",25.61,43
311,Product 311,Toys,18,314,Moore-Burton,4.96,309
312,Product 312,Toys,18,371,"Smith, Diaz and Kelley",34.82,171
313,Product 313,Food,20,22,Baker Group,40.98,461
314,Product 314,Electronics,48,247,Mason-Gonzalez,14.67,195
315,Product 315,Toys,30,252,Cook Ltd,42.86,245
316,Product 316,Food,46,10,Wall-Carpenter,2.32,114
317,Product 317,Clothing,6,315,Smith PLC,16.13,155
318,Product 318,Toys,12,96,"Clements, Bond and Levy",40.81,243
319,Product 319,Toys,13,423,"Stanley, Klein and Richards",49.31,260
320,Product 320,Food,64,494,Roth-Wolf,7.15,247
321,Product 321,Food,17,442,Hart-Daugherty,40.52,55
322,Product 322,Toys,17,103,Gaines Ltd,43.59,430
323,Product 323,Clothing,65,421,"Duran, Murphy and Hendricks",20.55,181
324,Product 324,Food,43,481,Murphy-Fowler,32.33,96
325,Product 325,Food,73,263,Jones-Hess,44.38,159
326,Product 326,Household,36,252,"Curtis, Bean and Martin",4.16,400
327,Product 327,Toys,7,299,"Silva, Miller and Navarro",33.18,161
328,Product 328,Electronics,30,362,Johnson-Bautista,44.61,143
329,Product 329,Electronics,53,135,Suarez-Fry,29.8,406
330,Product 330,Toys,51,33,Goodman and Sons,12.45,95
331,Product 331,Toys,38,298,"Benitez, Little and Hunter",44.03,53
332,Product 332,Clothing,46,379,"Hernandez, Robinson and Grimes",24.62,415
333,Product 333,Electronics,55,46,Clark PLC,40.94,367
334,Product 334,Clothing,1,59,"Campbell, Adams and Miller",49.87,480
335,Product 335,Clothing,34,53,Cervantes-Cook,44.36,496
336,Product 336,Electronics,61,206,"Horn, Brown and Valencia",39.68,261
337,Product 337,Clothing,44,123,Howard-Gallagher,2.36,446
338,Product 338,Clothing,1,93,"Castaneda, Booth and Anderson",29.46,295
339,Product 339,Clothing,53,242,"Potter, Pearson and Burns",3.35,266
340,Product 340,Electronics,67,250,Burnett Inc,1.71,250
341,Product 341,Toys,23,436,"Baker, Kaufman and Morales",44.56,121
342,Product 342,Food,94,265,Barnes-Parker,36.33,315
343,Product 343,Toys,72,394,Nixon-James,13.58,452
344,Product 344,Household,55,482,Fitzgerald-Strickland,12.89,192
345,Product 345,Electronics,15,470,Simmons-Gross,7.57,187
346,Product 346,Household,53,258,Medina-Wilson,12.37,7
347,Product 347,Food,53,498,"King, Banks and Dixon",6.1,452
348,Product 348,Food,65,394,"Collins, Chambers and Lopez",11.71,390
349,Product 349,Food,81,27,Hart-Lindsey,12.3,492
350,Product 350,Electronics,29,255,"Brennan, Burke and Holmes",5.57,39
351,Product 351,Food,29,453,"Jones, Mendez and Mccoy",36.38,141
352,Product 352,Electronics,44,93,"Herrera, Curtis and Garcia",31.1,440
353,Product 353,Toys,98,99,Decker-Johnson,37.46,73
354,Product 354,Clothing,4,260,Williams-Price,3.41,400
355,Product 355,Electronics,89,415,Roberts-Best,28.73,73
356,Product 356,Electronics,16,277,"Hernandez, Thompson and Haley",49.31,451
357,Product 357,Electronics,16,285,White Ltd,40.29,86
358,Product 358,Household,36,264,Stephenson-White,23.19,367
359,Product 359,Toys,7,115,Nelson PLC,0.99,358
360,Product 360,Food,20,135,"Jarvis, Berg and Perez",7.62,217
361,Product 361,Food,26,10,Cole and Sons,12.18,313
362,Product 362,Food,50,211,Smith Inc,18.05,413
363,Product 363,Household,37,469,Rodriguez-Lee,41.28,125
364,Product 364,Clothing,39,268,Frey Inc,12.41,115
365,Product 365,Food,56,37,Carey PLC,5.72,332
366,Product 366,Toys,43,33,Summers-Murray,18.64,156
367,Product 367,Clothing,5,186,"Bush, Olson and Dominguez",21.9,143
368,Product 368,Electronics,64,69,"Love, Marshall and Shepard",18.05,322
369,Product 369,Food,40,24,"Rivera, Fisher and Atkins",36.68,485
370,Product 370,Food,89,228,Camacho-Stone,36.63,436
371,Product 371,Toys,30,377,Bruce Group,26.29,393
372,Product 372,Household,57,378,Smith Ltd,9.36,307
373,Product 373,Clothing,65,351,"Roberts, Young and Cardenas",13.07,265
374,Product 374,Food,22,236,Hopkins-Stewart,39.0,392
375,Product 375,Household,71,124,Gardner PLC,3.19,266
376,Product 376,Clothing,30,333,"Smith, Thomas and Doyle",14.95,125
377,Product 377,Electronics,3,177,Hines-Watkins,17.55,326
378,Product 378,Clothing,79,237,"Ferguson, Dawson and Hughes",13.19,350
379,Product 379,Clothing,66,46,"Lam, Trevino and Estrada",40.83,125
380,Product 380,Electronics,84,182,"Dixon, Hudson and Bowers",15.77,476
381,Product 381,Household,38,325,"Campbell, Clark and Elliott",22.61,203
382,Product 382,Clothing,86,32,Fitzpatrick Group,9.91,343
383,Product 383,Household,40,418,"Curtis, Griffith and Parker",30.16,465
384,Product 384,Food,4,55,Wilson Group,38.0,130
385,Product 385,Food,36,352,Roberts Ltd,49.0,459
386,Product 386,Electronics,20,139,Deleon Inc,20.17,158
387,Product 387,Electronics,5,351,Frazier Group,38.49,39
388,Product 388,Toys,97,495,Adams-Rubio,4.46,64
389,Product 389,Food,85,442,"Hampton, Ramirez and Collins",4.25,221
390,Product 390,Toys,63,321,Lopez-Espinoza,20.59,285
391,Product 391,Food,81,163,Shelton Ltd,14.49,212
392,Product 392,Food,63,231,"Wilson, Camacho and Holmes",35.74,8
393,Product 393,Food,77,453,"Wise, Jones and Rodriguez",35.68,200
394,Product 394,Food,92,500,"Logan, Lucas and Johnson",40.25,248
395,Product 395,Food,45,425,Grant-Roman,48.23,463
396,Product 396,Food,75,56,Merritt and Sons,18.25,29
397,Product 397,Clothing,36,265,Thomas LLC,14.15,172
398,Product 398,Food,4,236,Thompson Ltd,22.58,212
399,Product 399,Household,24,207,Sullivan and Sons,7.17,329
400,Product 400,Clothing,25,226,Shelton-Miller,38.74,169
401,Product 401,Electronics,7,38,"Newton, Morrison and Colon",37.96,120
402,Product 402,Clothing,24,320,Morgan-Ashley,49.63,338
403,Product 403,Household,55,442,"Terry, Taylor and Mitchell",22.31,206
404,Product 404,Household,58,283,"Poole, Gray and Fuller",37.37,332
405,Product 405,Clothing,7,403,Smith PLC,48.83,261
406,Product 406,Food,39,222,Thompson-Parks,22.66,112
407,Product 407,Clothing,98,204,Forbes-Davis,42.27,127
408,Product 408,Household,38,11,Beard Ltd,8.2,94
409,Product 409,Food,26,484,Hill Group,4.59,490
410,Product 410,Toys,65,329,"Hickman, Pierce and Wallace",11.06,345
411,Product 411,Household,67,169,Soto-Glenn,29.54,57
412,Product 412,Electronics,97,256,Bradford-Howard,33.79,204
413,Product 413,Household,74,305,Hernandez-Jackson,31.95,15
414,Product 414,Clothing,23,89,Aguilar and Sons,36.23,453
415,Product 415,Food,74,231,Lopez-Clarke,15.65,456
416,Product 416,Food,70,468,"Love, Turner and Cooper",13.86,316
417,Product 417,Electronics,69,338,White-Cannon,39.46,11
418,Product 418,Household,47,39,"Castro, Reed and Lewis",9.92,60
419,Product 419,Electronics,29,489,"Bradford, Ibarra and Chambers",10.28,148
420,Product 420,Clothing,68,337,Lawson PLC,27.4,132
421,Product 421,Toys,79,365,Ortiz and Sons,3.61,253
422,Product 422,Electronics,86,403,Sullivan-Hammond,7.95,224
423,Product 423,Food,32,402,Sullivan Group,20.98,475
424,Product 424,Food,4,326,"Ramirez, Cunningham and Olson",3.78,87
425,Product 425,Clothing,81,46,Johnson-Barr,4.39,441
426,Product 426,Electronics,96,167,Jordan LLC,31.05,179
427,Product 427,Toys,85,225,Baker-Taylor,10.28,375
428,Product 428,Electronics,93,188,"Savage, Charles and Ward",38.35,462
429,Product 429,Electronics,33,394,Pineda-Key,29.13,190
430,Product 430,Clothing,86,268,Gonzales and Sons,34.73,371
431,Product 431,Electronics,35,232,Newton-Johnson,40.6,145
432,Product 432,Clothing,49,192,"Baker, Sanders and Flores",14.48,409
433,Product 433,Household,37,144,Foster-Wood,46.72,28
434,Product 434,Household,81,326,"Oliver, Farley and Douglas",35.49,201
435,Product 435,Household,23,150,Sanchez-Wu,39.52,251
436,Product 436,Clothing,94,359,Vance Group,41.06,33
437,Product 437,Electronics,12,414,Espinoza-Stone,31.05,99
